game_title,game_id,review,recommended
Counter-Strike 2,730,"This game is an absurd piece of crap, there are cheaters in EVERY game, I paid $15 for nothing, because even in premier there are hackers, since they make thousands of dollars a week, at least invest in the anticheat, since it is the most useless resource in the entire game... If you don't believe me, check YouTube, people upload videos using hacks, they even promote them in the game chats. Basically the investment is $20, $15 for the premier which is useless, and $5 more for a cheat.",False
Counter-Strike 2,730,"Arreglarlo, el juego esta en la mierda cheetos y subnormales en todas las partidas esto es insufrible ayuda por favor",True
Counter-Strike 2,730,juego de mierd4 te odio si un dia un amigo les dice que jueguen a esto directamente bloqueenlo.,True
Counter-Strike 2,730,Vaya puta mierda de juego lleno de cheaters. Valve no hace una puta mierda con el anticheat. Solo busca ganar dinero fácil sacando skins de mierda. Haced algo de una puta vez hijos de puta.,False
Counter-Strike 2,730,This game its imposible to play. Its full of cheater every game. IMPOSIBLE TO PLAY,False
Counter-Strike 2,730,"10/10, racismo y degeneración a raudales. Si odias tu vida este es tu juego, pero preparate para ser vejado como nunca antes. La ley del más fuerte, asegurate de ser el peor.",True
Counter-Strike 2,730,"Muy buen juego, aprendí portugués e idiomas que nunca escuché en mi vida sin pagar nada! 10/10",True
Counter-Strike 2,730,Un juego increíble al igual que lo que se la suda a Valve........ solo buscan obtener dinero de las cajas y listo. Un juego de tantos años y que se la sude tanto. Hasta que no pongan un anticheat como dios manda cuesta disfrutar del juego.,True
Counter-Strike 2,730,"Es un juegazo, lastima la cantidad de chiteros que hay en competivo y hasta en premier. El anti hack esta de decoración.
Ojala la empresa invierta en ciberseguridad porque estan en bolas.",False
Counter-Strike 2,730,"Si buscas un juego con una comunidad mas chota que la del LOL, este es tu juego, tenes entre mogolicos, brasileros y pajines. Una biodiversidad hermosa si buscas salir a la calle a patear Mogolardos por la calle",False
Counter-Strike 2,730,"No tiene sentido la logica de ban del juego, sali de una suspension de 7 dias porque dos personajes decidieron correr a mi molotov, expulsamos entre los 4 a otro personaje que estaba matando compañeros y haciendo daño y BANEARON POR OTROS 7 DIAS por expulsar y/o participar en una expulsión",False
Counter-Strike 2,730,"This game is an absurd piece of crap, there are cheaters in EVERY game, I paid $15 for nothing, because even in premier there are hackers, since they make thousands of dollars a week, at least invest in the anticheat, since it is the most useless resource in the entire game... If you don't believe me, check YouTube, people upload videos using hacks, they even promote them in the game chats. Basically the investment is $20, $15 for the premier which is useless, and $5 more for a cheat.",False
Counter-Strike 2,730,"muy bueno el juego pero los usuarios son bien pendejos, me denunciaron de chitero dos veces por darle en la cabeza a cuatro pendejos atraves del humo y con scout :V",True
